Household_ID,Age_of_Household_Head,Household_Income,Education_Level,Family_Size,Owns_House,Urban_Rural
HH081,61,96700,Graduate,3,Yes,Urban
HH082,31,87791,Graduate,8,Yes,Rural
HH083,59,24519,Secondary,4,Yes,Rural
HH084,56,23868,Primary,5,Yes,Rural
HH085,64,65465,Graduate,8,No,Rural
HH086,40,92778,Graduate,3,No,Rural
HH087,46,22650,Primary,4,No,Rural
HH088,42,61330,Post-Grad,6,Yes,Urban
HH089,40,84687,Graduate,7,No,Rural
HH090,53,49522,Graduate,7,Yes,Rural
HH091,67,69794,Graduate,5,No,Rural
HH092,69,36475,Secondary,7,Yes,Rural
HH093,32,47552,Graduate,7,No,Rural
HH094,62,73176,Post-Grad,8,Yes,Rural
HH095,39,20927,Secondary,3,No,Urban
HH096,28,76803,Graduate,8,No,Urban
HH097,25,63866,Graduate,3,Yes,Rural
HH098,55,14141,Primary,6,Yes,Urban
HH099,34,51265,Graduate,6,No,Urban
HH100,58,39487,Secondary,5,No,Urban
HH101,64,87659,Post-Grad,4,Yes,Urban
HH102,40,14459,Primary,5,No,Rural
HH103,27,49755,Secondary,3,No,Urban
HH104,52,19366,Primary,8,Yes,Urban
HH105,28,22079,Primary,6,No,Rural
HH106,32,46378,Secondary,6,No,Rural
HH107,30,74564,Graduate,2,Yes,Urban
HH108,68,97310,Graduate,8,No,Urban
HH109,36,48981,Secondary,3,No,Rural
HH110,30,41843,Secondary,2,Yes,Rural
HH111,51,88317,Graduate,6,Yes,Rural
HH112,30,27597,Secondary,5,Yes,Rural
HH113,51,28988,Primary,5,No,Urban
HH114,38,38876,Secondary,7,No,Urban
HH115,26,80758,Post-Grad,4,Yes,Rural
HH116,30,50241,Secondary,7,Yes,Rural
HH117,70,47229,Secondary,5,Yes,Rural
HH118,60,18245,Primary,3,Yes,Rural
HH119,51,37509,Secondary,4,No,Rural
HH120,34,42618,Secondary,8,No,Rural
HH121,45,110196,Post-Grad,3,No,Urban
HH122,45,99776,Graduate,8,Yes,Rural
HH123,27,31339,Primary,8,No,Urban
HH124,58,174154,Post-Grad,7,Yes,Urban
HH125,55,75845,Graduate,5,Yes,Rural
HH126,68,154203,Post-Grad,8,No,Urban
HH127,64,32681,Primary,2,No,Urban
HH128,65,45902,Graduate,4,Yes,Urban
HH129,45,59565,Graduate,3,Yes,Rural
HH130,61,46473,Graduate,6,No,Urban
HH131,56,143611,Post-Grad,4,No,Rural
HH132,67,27245,Primary,3,Yes,Rural
HH133,47,92780,Post-Grad,5,No,Urban
HH134,49,134963,Post-Grad,4,No,Rural
HH135,26,61061,Post-Grad,6,Yes,Rural
HH136,43,87555,Graduate,3,Yes,Rural
HH137,68,76172,Graduate,7,Yes,Rural
HH138,53,23955,Primary,4,No,Rural
HH139,36,43976,Secondary,4,Yes,Rural
HH140,55,75095,Post-Grad,5,Yes,Urban
HH141,39,170853,Post-Grad,8,No,Urban
HH142,50,29582,Primary,7,No,Rural
HH143,65,63280,Post-Grad,6,No,Urban
HH144,66,27213,Primary,2,Yes,Urban
HH145,27,27610,Secondary,6,Yes,Rural
HH146,54,55402,Secondary,7,Yes,Rural
HH147,66,28034,Primary,2,No,Urban
HH148,53,43768,Secondary,4,No,Urban
HH149,50,49800,Secondary,3,Yes,Urban
HH150,46,57000,Secondary,8,Yes,Urban
HH151,39,59058,Secondary,8,Yes,Urban
HH152,59,27204,Secondary,2,Yes,Urban
HH153,47,56218,Graduate,3,No,Urban
HH154,33,83867,Graduate,5,No,Rural
HH155,57,49519,Graduate,2,No,Rural
HH156,66,112640,Post-Grad,5,Yes,Rural
HH157,70,139730,Post-Grad,3,Yes,Urban
HH158,42,81671,Graduate,5,No,Rural
HH159,57,90888,Graduate,7,Yes,Rural
HH160,53,119441,Post-Grad,5,No,Urban
