Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST100393,35,69025,30073,729,72,No
CUST100394,63,59552,65999,755,84,No
CUST100395,57,19355,9861,737,60,No
CUST100396,53,43229,50855,658,48,No
CUST100397,28,117785,56685,604,180,Yes
CUST100398,64,37989,43818,525,24,No
CUST100399,64,74737,18949,662,60,Yes
CUST100400,25,95186,86550,762,120,No
CUST100401,59,38627,28279,601,24,No
CUST100402,24,74618,50582,729,120,No
CUST100403,26,93448,39575,613,180,No
CUST100404,65,70312,63674,687,84,No
CUST100405,52,141710,55382,730,12,No
CUST100406,50,28285,21294,634,36,No
CUST100407,55,96468,43724,692,48,No
CUST100408,60,65680,75901,651,36,No
CUST100409,36,89298,20416,729,360,No
CUST100410,33,81033,32391,696,84,No
CUST100411,62,51671,22855,684,48,No
CUST100412,50,75725,46500,789,240,No
CUST100413,39,23552,10192,726,120,Yes
CUST100414,37,85081,58821,632,48,No
CUST100415,39,77454,83067,674,60,Yes
CUST100416,48,85967,78407,675,36,Yes
CUST100417,46,96453,75230,686,360,No
CUST100418,57,79190,22886,850,60,No
CUST100419,46,73702,65889,706,180,Yes
CUST100420,43,47973,17578,537,48,Yes
CUST100421,29,52194,51482,642,180,No
CUST100422,32,99668,44856,545,24,No
CUST100423,21,105908,65350,657,360,No
CUST100424,21,64047,35256,541,240,No
CUST100425,54,71150,75335,619,60,Yes
CUST100426,52,47385,15473,574,120,Yes
CUST100427,45,99319,76043,707,120,No
CUST100428,60,86635,29635,680,240,No
CUST100429,65,118530,107245,701,48,No
CUST100430,21,48042,53090,673,60,No
CUST100431,36,60550,38425,582,180,No
CUST100432,59,75786,52148,716,120,No
CUST100433,25,86162,97141,815,60,No
CUST100434,42,64608,46582,709,180,No
CUST100435,49,48176,33126,650,12,No
CUST100436,23,92035,71634,580,120,Yes
CUST100437,32,88028,78277,616,36,No
CUST100438,46,47093,14452,712,48,No
CUST100439,36,103886,106079,755,60,No
CUST100440,57,99255,63077,698,60,No
CUST100441,42,73357,19979,736,60,No
CUST100442,49,71990,70995,730,60,No
CUST100443,34,83851,48378,715,48,No
CUST100444,48,48457,14555,634,36,No
CUST100445,25,70751,58991,692,120,No
CUST100446,50,16190,17487,621,60,No
CUST100447,25,91911,99977,681,60,No
CUST100448,32,30963,35845,703,84,No
CUST100449,36,107585,114869,798,240,No
CUST100450,46,61747,12482,588,120,No
CUST100451,46,64708,37546,714,12,No
CUST100452,41,54307,55314,784,180,No
CUST100453,59,62799,35560,733,360,No
CUST100454,56,105463,84534,738,60,No
CUST100455,53,15000,12095,721,360,No
CUST100456,50,101924,57590,771,60,No
CUST100457,57,78451,86647,604,60,No
CUST100458,43,39824,28005,583,48,No
CUST100459,30,43117,28664,680,84,No
CUST100460,25,111910,134014,529,36,Yes
CUST100461,56,46362,32152,766,24,No
CUST100462,54,41166,15577,765,12,No
CUST100463,51,98433,70190,650,48,Yes
CUST100464,30,78464,79564,654,60,No
CUST100465,39,46552,45475,675,60,No
CUST100466,52,75416,74555,684,48,No
CUST100467,21,44356,40276,689,360,No
CUST100468,25,97521,44296,719,48,No
CUST100469,65,96534,102527,668,60,No
CUST100470,24,83300,91084,746,24,No
CUST100471,36,79042,31155,711,36,No
CUST100472,44,114030,37682,638,12,No
CUST100473,36,69992,82283,773,60,No
CUST100474,22,40453,43217,585,120,Yes
CUST100475,48,81237,88811,674,36,Yes
CUST100476,52,122151,132702,748,60,No
CUST100477,47,44631,33102,629,12,No
CUST100478,40,60963,51599,702,180,No
CUST100479,44,80411,59935,718,120,No
CUST100480,32,68652,17246,620,24,No
CUST100481,55,45442,42966,675,60,No
CUST100482,53,98046,69155,669,360,No
CUST100483,53,128001,108508,641,60,No
CUST100484,63,74903,52630,841,60,No
CUST100485,57,47398,32790,627,48,No
CUST100486,32,31276,11628,750,72,No
CUST100487,23,76449,36597,653,360,No
CUST100488,21,97597,35023,604,360,No
CUST100489,53,81879,32397,687,120,No
CUST100490,60,69940,82038,725,60,No
CUST100491,30,55268,19516,744,60,No
CUST100492,63,42696,20036,789,48,No
CUST100493,64,90869,71840,850,360,No
CUST100494,49,92844,75220,698,120,No
CUST100495,33,31357,11100,634,60,No
CUST100496,32,109746,109057,712,12,Yes
CUST100497,51,84352,83104,661,60,No
CUST100498,22,104990,45914,745,360,No
CUST100499,55,36447,17810,589,60,No
CUST100500,43,35854,40801,846,36,Yes
CUST100501,37,66276,67977,740,12,No
CUST100502,46,82570,74131,562,48,No
CUST100503,28,114909,32431,630,240,No
CUST100504,49,87652,54192,737,360,No
CUST100505,46,63933,48544,762,240,Yes
CUST100506,30,44341,17178,591,120,No
CUST100507,46,100750,65309,730,60,No
CUST100508,54,45882,36753,544,72,Yes
CUST100509,61,110712,58387,674,60,No
CUST100510,27,62890,61692,758,120,Yes
CUST100511,24,109765,114205,641,60,No
CUST100512,65,86973,45540,575,84,No
CUST100513,31,66575,69149,690,24,No
CUST100514,49,57015,17308,638,36,No
CUST100515,56,61477,63796,724,180,No
CUST100516,45,80708,28470,618,240,No
CUST100517,41,71929,20351,626,60,No
CUST100518,56,55155,46428,539,12,No
CUST100519,30,65859,44253,692,240,No
CUST100520,57,71964,79728,669,120,No
CUST100521,29,16782,9451,597,60,Yes
CUST100522,44,81454,39681,694,72,No
CUST100523,55,45507,31888,752,60,No
CUST100524,55,41167,27003,665,60,No
CUST100525,56,27816,15144,699,180,No
CUST100526,38,25153,22480,699,36,No
CUST100527,59,36114,34654,596,24,No
CUST100528,52,52274,55044,824,12,Yes
CUST100529,44,118831,139372,647,48,No
CUST100530,43,56853,26531,726,36,No
CUST100531,52,74444,68198,734,36,No
CUST100532,57,80012,47548,670,12,No
CUST100533,32,73277,64270,722,36,Yes
CUST100534,33,68064,46010,697,48,No
CUST100535,43,40118,47892,581,12,Yes
CUST100536,45,106273,98717,657,72,No
CUST100537,55,115180,132744,637,72,Yes
CUST100538,61,27934,28911,648,24,No
CUST100539,50,44399,48968,589,72,Yes
CUST100540,37,63005,63913,759,360,No
CUST100541,40,45887,30247,792,240,No
CUST100542,45,82649,37340,748,12,No
CUST100543,42,51793,29539,769,120,No
CUST100544,33,124126,27337,656,48,No
CUST100545,39,99764,72228,635,24,Yes
CUST100546,56,75314,53101,625,48,No
CUST100547,32,95675,69388,725,48,No
CUST100548,61,97648,114642,696,60,Yes
CUST100549,39,55901,62131,675,84,Yes
CUST100550,32,49595,17939,771,120,No
CUST100551,29,71954,40933,708,36,No
CUST100552,27,91541,57118,621,48,No
CUST100553,48,73477,41186,632,48,No
CUST100554,34,30575,30529,728,60,Yes
CUST100555,51,49929,36150,753,360,No
CUST100556,39,68151,52619,719,120,No
CUST100557,36,68108,71719,813,360,No
CUST100558,25,119314,120021,794,84,Yes
CUST100559,55,35350,11744,711,60,No
CUST100560,32,82640,75526,621,60,No
CUST100561,45,107228,68137,588,60,No
CUST100562,41,126786,62715,653,60,No
CUST100563,56,59890,14974,733,180,No
CUST100564,43,82286,56551,808,60,No
CUST100565,36,84244,46792,709,48,Yes
CUST100566,59,74887,33812,762,120,No
CUST100567,65,67529,60416,663,180,Yes
CUST100568,62,80899,78430,724,60,No
CUST100569,59,15000,6672,738,84,No
CUST100570,34,87052,21715,541,24,No
CUST100571,51,73154,76720,651,60,Yes
CUST100572,25,64438,13529,746,12,No
CUST100573,55,121172,137786,699,12,No
CUST100574,43,53127,43969,596,72,Yes
CUST100575,49,59923,31271,510,48,No
CUST100576,63,119789,53483,654,120,No
CUST100577,31,49198,10283,675,180,No
CUST100578,38,56247,24494,618,36,No
CUST100579,32,66324,22399,690,120,No
CUST100580,29,91018,73922,715,60,No
CUST100581,30,75195,27562,727,24,No
CUST100582,64,37684,27458,515,84,No
CUST100583,37,56696,44796,588,72,No
CUST100584,58,54816,27301,659,60,No
CUST100585,27,68069,16001,720,240,Yes
CUST100586,33,80646,19134,714,60,No
CUST100587,60,80455,18211,713,360,No
CUST100588,62,25600,24042,653,60,No
CUST100589,29,96599,50039,657,24,No
CUST100590,47,76314,76032,629,60,No
CUST100591,22,104613,66087,734,36,No
CUST100592,25,81105,52961,616,72,No
CUST100593,49,97533,69530,740,84,No
CUST100594,57,81664,74562,695,60,No
CUST100595,58,103656,49081,677,24,No
CUST100596,39,83056,26710,634,60,Yes
CUST100597,28,67552,51073,585,24,No
CUST100598,65,126811,66827,635,84,No
CUST100599,21,92226,59254,657,120,No
CUST100600,42,84344,71435,514,360,No
CUST100601,37,38092,26441,666,36,No
CUST100602,27,37792,31000,745,60,Yes
CUST100603,45,77318,57540,720,72,No
CUST100604,65,73638,69205,645,240,No
CUST100605,24,54647,49507,683,72,Yes
CUST100606,56,73525,53981,641,36,No
CUST100607,26,109716,96430,690,60,No
CUST100608,51,87385,93813,788,84,Yes
CUST100609,39,41475,26223,748,120,No
CUST100610,64,67212,41185,716,180,No
CUST100611,59,49876,48093,645,36,No
CUST100612,47,60308,47194,732,360,No
CUST100613,30,59660,16168,562,24,No
CUST100614,46,58059,63407,662,360,No
CUST100615,39,38622,8913,721,180,No
CUST100616,59,66809,63361,732,84,Yes
CUST100617,23,55985,53678,727,120,Yes
CUST100618,65,15000,17297,701,24,Yes
CUST100619,33,121324,30833,666,12,No
CUST100620,48,97219,77470,718,24,No
CUST100621,40,60592,38042,613,24,No
CUST100622,48,70470,37394,621,60,No
CUST100623,28,40709,11819,684,36,No
CUST100624,61,112393,85717,692,180,No
CUST100625,59,117432,79741,552,60,No
CUST100626,21,73917,22512,712,84,No
CUST100627,23,95588,77664,734,84,No
CUST100628,33,74382,69767,675,48,No
CUST100629,48,36582,35385,846,36,Yes
CUST100630,45,59704,65995,632,48,No
CUST100631,53,73298,44673,655,120,No
CUST100632,58,58636,67612,652,72,No
CUST100633,26,64534,68756,675,36,No
CUST100634,64,67715,33621,657,180,No
CUST100635,65,67978,24423,582,24,No
CUST100636,52,71306,45307,642,84,No
CUST100637,65,43485,26174,673,60,No
CUST100638,41,52075,40396,766,120,No
CUST100639,36,37885,29679,834,240,Yes
CUST100640,41,94445,89722,773,120,No
CUST100641,31,17359,12323,626,60,No
CUST100642,57,98840,30129,631,36,No
CUST100643,56,104659,110760,669,180,Yes
CUST100644,55,62445,31832,805,60,No
CUST100645,39,15000,17569,668,24,Yes
CUST100646,40,60967,19379,587,120,No
CUST100647,38,68395,79219,645,48,Yes
CUST100648,61,44735,13018,733,12,No
CUST100649,34,57120,24621,728,240,No
CUST100650,35,108255,26694,666,60,No
CUST100651,51,86623,78404,728,48,No
CUST100652,21,46886,49244,521,120,No
CUST100653,23,30060,19060,687,180,Yes
CUST100654,36,61825,69771,740,12,No
CUST100655,43,64664,51104,622,84,Yes
CUST100656,31,82405,68397,621,120,Yes
CUST100657,32,56617,59188,549,36,No
CUST100658,30,82787,41129,791,60,No
CUST100659,52,118379,65613,630,24,No
CUST100660,36,90388,99965,697,120,No
CUST100661,28,68798,75744,722,180,No
CUST100662,58,65421,76967,786,24,Yes
CUST100663,32,61083,67304,669,180,Yes
CUST100664,44,99516,32579,642,120,No
CUST100665,48,54317,55606,692,48,No
CUST100666,28,71131,43378,770,84,No
CUST100667,48,71280,84880,668,12,Yes
CUST100668,56,57455,38626,613,240,No
CUST100669,46,35688,26903,572,60,Yes
CUST100670,28,78074,56976,595,72,Yes
CUST100671,48,68475,35726,741,84,No
CUST100672,48,82506,22691,658,72,Yes
CUST100673,57,56660,62080,637,180,No
CUST100674,61,100521,100790,630,72,No
CUST100675,56,48081,16325,686,240,No
CUST100676,47,112801,110180,663,72,Yes
CUST100677,37,26309,21727,661,36,No
CUST100678,29,80869,49261,774,240,No
CUST100679,53,81886,37178,788,84,No
CUST100680,40,50111,53104,567,84,No
CUST100681,33,80610,72564,703,360,Yes
CUST100682,48,101988,76260,626,24,No
