customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
39,36.0,Female,West,Post-Graduate,,664182.69,617401.81,Car,712.8,11,83,70.05,2018-09-21,1
40,47.0,Female,West,Primary,Self-Employed,866222.21,474950.15,Education,512.1,0,443,84.86,2024-06-16,0
41,69.0,Male,East,Post-Graduate,Self-Employed,212708.78,735992.68,Home,,12,313,86.31,2023-06-23,1
42,45.0,Other,North,Post-Graduate,Unemployed,583772.66,290411.42,Other,615.7,2,435,49.73,2019-06-07,0
43,63.0,Female,West,Graduate,Self-Employed,1124212.73,460787.02,Education,658.2,6,172,27.99,2021-08-31,0
44,26.0,Male,North,Secondary,Salaried,722968.23,399498.69,Home,657.1,5,119,65.26,2025-04-23,0
45,60.0,Other,North,Secondary,Self-Employed,789704.7,,Home,634.8,11,136,75.19,2019-11-19,0
46,58.0,Male,South,Primary,Unemployed,617705.21,257285.74,Education,777.4,6,208,90.03,2020-03-23,0
47,64.0,Other,East,Primary,Self-Employed,576937.4,325085.5,Business,693.2,6,343,41.5,2023-09-04,0
48,27.0,Other,East,Post-Graduate,Self-Employed,428733.8,58537.41,Business,792.4,7,367,23.0,2019-12-23,0
49,67.0,Other,West,Graduate,Salaried,478795.11,278955.03,Business,731.9,7,129,73.79,2024-05-23,0
50,41.0,Other,South,Primary,Salaried,603116.45,505394.09,Business,801.6,5,148,84.83,2021-02-05,1
51,52.0,Other,South,Graduate,Unemployed,490802.88,337018.88,Other,661.9,0,52,35.01,2022-07-15,0
52,44.0,Female,East,Graduate,Salaried,382226.59,141736.2,Home,665.8,11,286,38.12,2023-02-02,0
53,67.0,Other,East,Primary,Salaried,753437.57,518037.72,Education,683.4,3,383,51.16,2024-08-11,0
54,35.0,Other,East,Secondary,Unemployed,508585.74,,Business,784.0,2,145,13.87,2018-08-12,0
55,27.0,Male,North,Post-Graduate,Self-Employed,973150.66,165756.65,Home,638.4,0,134,89.99,2023-05-11,0
56,57.0,Male,West,Secondary,Unemployed,769980.01,534129.69,Business,693.2,9,490,35.83,2020-10-13,0
57,49.0,Male,South,Graduate,Unemployed,911522.58,285798.83,Home,598.2,0,317,91.61,2019-02-11,0
58,31.0,Female,North,Secondary,Self-Employed,868223.08,261840.6,Education,666.9,6,235,68.6,2023-04-09,0
59,65.0,Female,North,Secondary,Unemployed,773267.3,325823.44,Car,668.7,9,343,78.33,2020-03-21,0
60,38.0,Female,West,Primary,Self-Employed,,535688.52,Education,698.3,4,309,73.66,2024-05-20,0
61,65.0,Male,North,Secondary,Unemployed,504315.16,514594.97,Other,592.6,6,381,37.4,2020-10-22,1
62,58.0,Other,West,Graduate,Salaried,854390.23,773428.79,Other,679.7,4,300,13.42,2019-12-19,1
63,,Female,West,Graduate,Unemployed,468837.67,182093.07,Business,643.6,10,58,82.91,2021-09-12,0
64,69.0,Other,North,Post-Graduate,Self-Employed,920566.12,191428.45,Home,697.0,5,64,92.47,2022-07-14,0
65,33.0,Other,West,Primary,Salaried,283979.61,359653.19,Other,658.7,4,286,21.14,2021-03-25,1
66,36.0,Female,North,Secondary,Self-Employed,734785.46,384546.29,Education,690.8,6,52,29.1,2019-04-10,0
67,53.0,Other,South,Primary,Self-Employed,,151020.44,Business,603.8,2,201,26.2,2024-09-21,0
68,42.0,Other,West,Secondary,Self-Employed,757557.13,10000.0,Other,673.7,4,376,35.38,2024-08-01,0
69,51.0,Female,North,Graduate,Unemployed,486089.6,661860.77,Business,620.7,3,362,30.3,2022-04-18,1
70,66.0,Female,North,Secondary,Unemployed,773206.39,10000.0,Other,,12,425,65.42,2019-09-16,0
71,,Male,North,Post-Graduate,Self-Employed,1117316.19,28269.27,Education,603.7,11,78,44.85,2025-05-05,1
72,60.0,Other,West,Primary,Unemployed,646186.26,112468.94,Home,569.4,10,444,55.36,2021-07-21,1
73,36.0,Female,South,Graduate,Salaried,240974.89,10000.0,Home,678.5,1,394,63.87,2019-02-16,0
74,41.0,Male,South,Secondary,Salaried,380003.65,334785.01,Other,745.3,2,130,55.15,2024-05-07,1
75,45.0,Female,East,Secondary,Salaried,537381.56,273205.89,Business,728.4,4,240,31.7,2018-02-08,0
76,43.0,Male,West,Post-Graduate,,961168.87,205640.6,Car,850.0,11,133,48.83,2021-05-22,0
77,45.0,Other,North,Post-Graduate,Self-Employed,347033.09,257223.41,Car,625.8,10,207,33.33,2024-05-07,0
78,59.0,Other,South,Primary,Unemployed,,431419.99,Home,724.6,4,352,74.22,2025-05-24,0
79,40.0,Male,East,Graduate,Salaried,718774.55,336778.58,Education,784.1,5,387,45.32,2020-04-02,0
80,51.0,Male,South,Post-Graduate,,1183483.52,258571.95,Education,815.9,12,63,49.81,2018-11-05,0
81,26.0,Female,North,Secondary,Self-Employed,712699.81,359502.47,Home,579.6,10,139,59.69,2025-02-28,1
82,60.0,Other,East,Post-Graduate,Salaried,825692.82,10000.0,Car,621.5,3,336,15.37,2023-03-17,0
83,23.0,Other,West,Secondary,Self-Employed,941160.4,329441.77,Home,799.8,2,203,48.56,2025-07-09,0
84,52.0,Male,East,Primary,Unemployed,1059420.86,587859.57,Education,658.8,11,194,28.47,2022-12-27,0
85,55.0,Other,North,Primary,Self-Employed,1051901.27,191679.25,Car,650.2,7,51,66.34,2025-03-13,0
86,29.0,Female,South,Primary,Self-Employed,,530678.8,Car,806.6,8,111,59.84,2020-08-12,0
87,29.0,Male,East,Primary,Salaried,180054.62,,Business,704.9,5,409,77.02,2024-08-08,1
88,54.0,Other,North,Graduate,,581320.89,651196.94,Home,709.7,5,267,60.46,2023-01-26,1
89,24.0,Other,South,Primary,Salaried,1281585.78,395696.31,Education,766.0,7,42,86.44,2021-08-12,0
90,60.0,Other,West,Primary,Unemployed,997197.53,188424.89,Home,661.4,9,276,35.07,2023-09-02,0
91,62.0,Female,West,Primary,Self-Employed,400541.88,52332.62,Business,696.7,3,216,38.81,2023-02-01,0
92,,Male,West,Primary,Unemployed,1020907.88,298704.15,Education,708.6,7,39,17.75,2018-12-16,0
93,29.0,Other,North,Graduate,Unemployed,326070.6,284773.17,Education,662.8,5,452,66.55,2022-09-29,0
94,43.0,Other,East,Primary,Self-Employed,834404.7,255200.57,Other,678.1,7,119,82.02,2021-12-05,0
95,35.0,Other,East,Primary,Salaried,903870.95,,Education,720.2,10,290,12.23,2025-05-18,0
96,65.0,Male,North,Primary,Unemployed,323951.77,604792.2,Other,649.2,2,450,22.18,2025-05-16,1
97,34.0,Other,North,Primary,Self-Employed,465009.71,592907.87,Business,656.6,9,310,17.22,2018-08-04,1
98,63.0,Female,North,Graduate,Unemployed,945999.1,197796.53,Other,634.9,3,391,53.55,2021-11-14,0
99,52.0,Female,East,Primary,Salaried,446038.18,363838.74,Business,703.4,3,159,90.35,2019-07-17,0
100,68.0,Male,West,Primary,Self-Employed,690173.85,612212.64,Home,742.6,3,261,57.49,2025-06-29,0
101,50.0,Female,South,Post-Graduate,Unemployed,,163443.51,Education,581.4,6,153,19.79,2018-03-27,1
102,26.0,Male,East,Secondary,Salaried,,610414.94,Other,726.2,6,273,16.69,2021-06-24,0
103,61.0,Male,East,Secondary,Salaried,970215.71,596088.21,Other,614.0,10,422,22.55,2019-02-26,1
104,30.0,Other,West,Graduate,Unemployed,1092413.95,312663.42,Education,643.8,12,326,52.0,2024-04-28,0
105,30.0,Male,East,Graduate,Salaried,386377.97,503927.26,Home,706.9,5,264,16.31,2023-03-07,1
106,60.0,Other,South,Graduate,Unemployed,315498.99,153587.54,Business,741.2,12,383,86.15,2023-01-17,0
107,53.0,Male,South,Post-Graduate,Self-Employed,762553.73,472570.63,Other,731.7,11,48,52.89,2019-12-08,0
108,54.0,,North,Graduate,Salaried,537024.87,33208.34,Education,798.1,6,214,75.83,2025-08-12,0
109,27.0,Other,South,Graduate,Self-Employed,422868.13,311964.86,Business,787.7,9,452,22.78,2018-11-30,0
110,29.0,Other,North,Post-Graduate,Unemployed,77629.0,599069.57,Education,657.1,6,334,77.29,2019-06-08,1
111,22.0,Male,North,Graduate,Unemployed,577066.65,519798.11,Car,756.5,3,75,23.17,2021-04-26,0
112,59.0,Male,West,Graduate,Unemployed,588189.25,647093.66,Car,792.5,12,324,78.77,2019-11-10,0
113,49.0,Female,West,Post-Graduate,Self-Employed,314969.57,132534.43,Business,685.2,12,406,49.87,2020-03-05,0
114,53.0,Female,East,Primary,Unemployed,920695.27,850354.09,Other,652.9,12,314,21.76,2020-10-21,1
115,28.0,Female,North,Post-Graduate,Salaried,588735.61,814036.8,Business,712.7,6,51,90.45,2020-06-28,0
116,53.0,Other,East,Secondary,,605058.67,322124.3,Home,698.9,3,19,37.09,2019-02-10,0
117,,Female,South,Secondary,Unemployed,994603.23,259755.39,Other,684.4,9,7,87.0,2018-03-19,0
118,54.0,Female,North,Primary,Self-Employed,362917.27,430149.31,Other,629.1,1,29,30.27,2025-03-02,0
119,55.0,Male,North,Graduate,Salaried,1059170.06,431018.83,Other,726.0,9,185,30.45,2022-09-03,0
120,55.0,Female,East,Graduate,Unemployed,949290.84,716907.5,Home,,6,452,49.96,2025-02-16,0
121,43.0,Female,East,Secondary,Unemployed,766119.76,176804.28,Business,,11,392,38.26,2018-07-01,1
122,65.0,Male,South,Primary,Self-Employed,328117.67,455545.19,Education,714.3,11,402,90.21,2018-06-01,1
123,53.0,Female,East,Primary,Self-Employed,257490.09,674257.1,Business,778.3,4,187,83.28,2018-07-15,0
124,46.0,Other,East,Primary,Unemployed,798725.9,594970.41,Business,637.5,2,259,68.83,2022-02-13,0
125,26.0,Female,South,Post-Graduate,Self-Employed,50000.0,744335.12,Business,671.2,5,343,35.13,2023-01-01,1
126,23.0,Other,West,Graduate,Unemployed,834344.73,693441.43,Car,629.0,6,145,64.35,2018-08-23,1
127,22.0,Other,North,Secondary,Unemployed,955994.71,667238.35,Business,705.5,12,335,41.14,2022-04-18,0
128,44.0,Female,South,Primary,Salaried,724278.5,426816.98,Car,,8,192,43.83,2025-04-14,1
129,52.0,Male,North,Post-Graduate,Salaried,50000.0,338449.42,Business,697.1,3,318,34.27,2023-07-05,1
130,26.0,,South,Secondary,Self-Employed,237608.11,1118853.73,Other,638.4,10,182,70.31,2024-03-02,1
131,35.0,Male,North,Primary,Self-Employed,845313.48,515682.01,Business,684.1,8,298,41.36,2024-03-09,0
132,66.0,Other,North,Post-Graduate,Self-Employed,632974.2,10000.0,Other,660.7,9,42,20.65,2021-07-22,0
133,,Male,South,Graduate,,1090277.77,739153.7,Car,578.1,2,226,52.74,2018-08-15,0
134,41.0,Other,East,Secondary,Unemployed,431354.12,493168.42,Education,,8,463,34.14,2018-11-20,1
135,60.0,Other,North,Primary,Salaried,353279.39,338310.61,Home,717.8,10,324,71.25,2024-10-14,1
136,62.0,Female,East,Graduate,Self-Employed,637719.49,384181.14,Car,728.0,9,218,62.54,2018-05-05,0
137,,Other,East,Graduate,Self-Employed,425954.85,552919.65,Car,719.6,7,109,38.92,2019-08-12,1
138,69.0,Male,North,Primary,Self-Employed,960525.06,197047.98,Business,656.8,7,67,32.74,2020-10-12,0
139,60.0,Other,West,Post-Graduate,Self-Employed,50000.0,715429.9,Business,743.3,11,165,26.14,2019-10-15,1
140,22.0,Female,West,Graduate,Unemployed,55876.57,183504.07,Home,728.1,3,115,59.58,2018-07-19,1
141,27.0,Female,North,Post-Graduate,Unemployed,136769.18,617530.79,Business,685.8,6,31,58.47,2020-03-08,1
142,69.0,Female,East,Graduate,Unemployed,414711.95,559192.84,Education,592.9,9,65,20.94,2019-02-01,1
143,69.0,Female,South,Secondary,Self-Employed,951229.98,667352.74,Other,699.1,11,175,78.34,2023-10-29,0
144,41.0,Other,East,Post-Graduate,Salaried,721151.56,809235.63,Education,673.2,4,308,38.59,2023-09-19,1
145,42.0,,South,Primary,Unemployed,313690.93,10000.0,Business,712.6,11,327,12.27,2023-04-28,0
146,31.0,Male,North,Secondary,Salaried,238385.7,322287.67,Business,561.1,6,80,79.84,2020-09-19,1
147,41.0,Other,South,Secondary,Unemployed,429808.27,526039.23,Education,583.8,7,451,82.11,2018-09-13,1
148,63.0,Female,East,Post-Graduate,Salaried,695284.05,10000.0,Car,802.6,7,472,55.32,2024-02-16,0
149,38.0,,East,Graduate,Self-Employed,499977.94,336311.85,Home,663.0,3,358,69.92,2021-07-22,0
150,57.0,Female,North,Graduate,Unemployed,936775.88,10000.0,Home,,5,493,75.71,2019-08-23,0
151,43.0,Male,North,Secondary,Salaried,1089240.79,232176.03,Home,709.5,4,482,57.77,2021-01-17,0
152,63.0,Male,South,Primary,Unemployed,1248498.77,427715.54,Car,730.4,1,216,38.07,2023-04-19,0
153,47.0,Male,South,Primary,Salaried,345572.62,10000.0,Business,611.2,4,169,34.26,2018-08-31,0
154,32.0,Male,East,Primary,Self-Employed,291396.65,863200.57,Education,710.1,12,258,25.84,2021-03-31,0
155,50.0,Female,South,Post-Graduate,Unemployed,1074714.05,378579.68,Education,806.6,7,144,26.39,2019-04-07,0
156,66.0,Other,West,Post-Graduate,Unemployed,479565.07,362862.83,Education,556.6,9,350,74.37,2019-12-20,1
157,26.0,Female,East,Graduate,Unemployed,,465322.12,Other,517.6,0,138,42.6,2023-01-04,0
158,21.0,Female,East,Primary,Unemployed,799264.09,283386.59,Education,719.7,10,65,49.56,2019-10-17,0
159,44.0,Female,South,Secondary,Unemployed,541396.72,284028.66,Other,746.4,9,196,45.35,2024-02-28,0
160,26.0,Other,South,Secondary,Salaried,1108590.31,166774.17,Education,668.3,9,62,15.25,2024-02-22,0
161,54.0,Other,West,Post-Graduate,Unemployed,276853.93,534916.96,Home,530.5,7,419,14.73,2019-06-25,1
162,56.0,Other,North,Primary,Self-Employed,745045.91,540273.98,Education,574.9,6,135,79.4,2020-06-11,1
163,65.0,Other,West,Graduate,,1585439.28,712500.11,Business,828.0,0,151,44.75,2019-07-09,0
164,45.0,Male,South,Post-Graduate,Unemployed,993730.07,248999.29,Car,586.0,8,73,65.55,2021-11-25,1
165,67.0,Male,South,Post-Graduate,Self-Employed,1264245.92,336766.51,Car,757.3,11,283,46.05,2022-04-03,0
166,38.0,Male,South,Secondary,Salaried,654925.3,701460.05,Home,595.8,0,419,66.12,2024-11-23,0
167,59.0,Male,South,Graduate,Salaried,1095916.09,470655.35,Other,789.6,6,229,29.92,2020-06-08,0
168,41.0,Other,South,Post-Graduate,Self-Employed,848379.27,465173.73,Education,552.0,3,159,84.48,2025-05-28,0
169,24.0,Other,West,Graduate,Unemployed,323704.59,283265.42,Business,727.8,8,258,13.99,2021-11-11,0
170,47.0,Other,South,Post-Graduate,Salaried,1102997.72,101056.06,Other,762.2,7,128,82.19,2021-05-16,0
171,47.0,Male,South,Primary,Self-Employed,1075157.02,335843.32,Business,682.1,10,45,88.39,2022-02-28,0
172,64.0,Other,South,Post-Graduate,Salaried,902078.81,494206.12,Education,686.7,12,394,59.94,2025-07-13,0
173,40.0,Other,South,Post-Graduate,Salaried,750827.98,388275.04,Other,714.0,12,250,87.73,2024-10-11,0
174,41.0,Female,West,Primary,Unemployed,664626.18,174023.5,Business,738.9,5,162,32.23,2023-10-02,0
175,69.0,Other,West,Graduate,Salaried,1055408.7,10000.0,Car,602.8,3,384,22.4,2020-12-04,0
176,42.0,Female,West,Post-Graduate,Self-Employed,898596.34,230011.82,Car,657.7,8,340,90.19,2021-10-14,0
177,67.0,Male,North,Primary,Salaried,750945.34,253786.87,Business,524.3,8,333,91.37,2023-11-17,1
178,29.0,Male,West,Post-Graduate,,749080.04,445604.71,Home,789.0,0,116,52.99,2022-03-09,0
179,55.0,Female,South,Primary,Salaried,656093.41,387692.41,Other,650.1,0,262,79.12,2025-07-23,0
180,30.0,Female,West,Post-Graduate,,1516352.12,260810.93,Car,,5,141,77.57,2018-11-20,0
181,65.0,Female,West,Primary,Unemployed,768816.01,775139.25,Home,601.3,12,21,17.95,2022-04-03,1
182,65.0,Other,North,Secondary,Salaried,212221.0,133307.03,Other,680.1,12,174,58.1,2019-01-26,0
183,51.0,Male,South,Post-Graduate,Salaried,609954.89,962813.76,Education,663.4,10,21,25.25,2021-07-12,1
184,,Other,South,Primary,Unemployed,1068636.9,10000.0,Education,624.6,10,464,55.95,2022-04-22,0
185,24.0,Male,East,Post-Graduate,Self-Employed,878254.34,504658.64,Car,603.8,9,208,92.36,2021-08-29,1
186,43.0,Female,South,Primary,Salaried,445994.02,286373.58,Education,711.6,9,343,42.31,2024-12-08,0
187,30.0,Female,North,Secondary,Salaried,317201.64,699559.68,Car,629.1,1,7,90.15,2022-12-27,1
188,48.0,Other,East,Post-Graduate,Salaried,881404.36,158985.08,Education,655.8,0,50,40.08,2019-01-17,0
189,47.0,Male,South,Graduate,Self-Employed,,468158.37,Education,840.3,9,271,24.41,2022-04-09,0
190,52.0,Male,West,Secondary,Self-Employed,234525.42,499862.13,Home,728.8,4,252,76.53,2022-01-19,1
191,29.0,Other,South,Graduate,Self-Employed,453703.55,973962.47,Other,588.0,5,230,38.45,2025-04-20,1
192,65.0,Female,South,Graduate,Self-Employed,328725.36,,Education,846.4,5,154,72.46,2025-02-05,0
193,46.0,Male,West,Graduate,Unemployed,239844.01,834868.17,Home,724.1,12,286,12.29,2023-03-06,0
194,47.0,Female,North,Post-Graduate,Unemployed,696752.92,536197.12,Business,725.6,4,342,23.1,2022-09-30,0
195,58.0,,North,Secondary,Unemployed,410448.66,573451.38,Education,648.6,12,500,40.56,2024-01-09,1
196,31.0,Female,North,Primary,Salaried,349147.63,,Education,735.1,10,336,43.97,2021-09-20,0
197,35.0,Other,South,Graduate,Salaried,,379731.34,Business,612.3,6,242,75.65,2024-08-07,1
198,27.0,Male,West,Graduate,Self-Employed,551598.72,493000.39,Home,,11,77,39.61,2021-11-06,1
199,49.0,Other,South,Secondary,Unemployed,642359.25,129852.29,Car,785.9,0,439,39.16,2019-03-24,0
200,56.0,Male,West,Post-Graduate,Salaried,830932.72,10000.0,Other,615.2,3,413,44.43,2020-01-26,0
201,,Male,South,Graduate,Self-Employed,2387715.95,482528.01,Car,692.4,11,419,77.66,2024-06-22,0
202,50.0,Female,North,Graduate,Self-Employed,936413.08,261460.87,Business,608.7,10,165,60.74,2024-11-08,1
203,60.0,Male,East,Secondary,Unemployed,909993.63,730645.66,Business,761.6,10,73,36.62,2020-09-04,1
204,47.0,Male,South,Post-Graduate,Self-Employed,504060.71,166235.43,Car,646.7,7,330,55.68,2025-03-27,0
205,32.0,Female,West,Post-Graduate,Self-Employed,570317.14,651551.99,Business,673.9,2,104,79.29,2024-04-19,1
206,52.0,Other,East,Secondary,,732238.7,10000.0,Other,630.2,3,154,12.78,2020-07-09,0
207,68.0,Male,West,Secondary,Self-Employed,749537.44,110564.25,Home,630.4,8,426,94.23,2024-01-30,0
208,68.0,Female,North,Secondary,Salaried,595486.3,401776.84,Other,621.2,0,235,32.34,2018-12-23,0
209,65.0,Other,East,Secondary,Self-Employed,420739.91,717651.72,Education,699.3,3,421,27.59,2018-09-01,1
210,39.0,Female,South,Secondary,Salaried,841916.18,687158.53,Car,655.2,10,422,18.09,2022-08-13,0
211,66.0,Other,North,Post-Graduate,Unemployed,600971.38,569538.17,Education,649.7,10,142,63.36,2022-03-17,1
212,65.0,Other,West,Graduate,Salaried,803715.54,10000.0,Other,805.7,5,302,10.21,2019-01-17,0
213,46.0,Female,North,Primary,Salaried,763823.24,659533.94,Business,,5,285,59.12,2024-05-07,0
214,22.0,Other,East,Secondary,Self-Employed,1259395.48,568859.22,Home,621.1,0,495,46.36,2019-06-25,0
215,62.0,Female,North,Primary,Salaried,620423.17,479714.88,Car,666.5,10,161,71.71,2020-08-17,0
216,51.0,,West,Secondary,Self-Employed,621244.8,148275.1,Home,632.9,7,9,10.69,2021-11-08,0
217,35.0,Other,South,Primary,Unemployed,339375.18,671491.99,Other,624.0,2,200,75.74,2019-06-30,1
218,21.0,Other,West,Secondary,Salaried,1270588.13,519483.51,Home,735.9,3,326,73.6,2022-08-14,0
219,,Male,East,Primary,Unemployed,706152.11,,Education,739.2,2,131,33.54,2018-12-12,0
220,34.0,Female,West,Primary,Salaried,640331.49,10000.0,Business,673.1,4,335,14.64,2020-09-07,0
221,,Female,East,Secondary,Self-Employed,394447.89,229447.52,Home,,2,203,83.17,2024-05-17,0
222,22.0,,West,Post-Graduate,Unemployed,642427.43,573636.71,Business,684.2,0,490,77.09,2023-09-07,1
223,26.0,Female,North,Graduate,Unemployed,463441.42,160063.55,Business,704.6,3,418,23.21,2021-08-31,0
224,67.0,Male,East,Secondary,Salaried,761037.89,413353.44,Home,732.3,6,64,48.54,2024-10-29,0
225,66.0,Other,East,Primary,Salaried,729501.73,428679.75,Education,631.8,11,137,24.19,2019-06-04,0
226,48.0,Other,East,Primary,Self-Employed,997242.39,763283.24,Other,723.2,9,326,16.55,2023-02-08,0
227,31.0,,South,Primary,Self-Employed,544838.38,541763.96,Education,579.7,3,384,53.25,2018-06-30,0
228,45.0,Female,South,Post-Graduate,Unemployed,484765.9,674185.98,Education,840.4,0,288,78.26,2025-05-09,1
229,38.0,Female,North,Post-Graduate,Self-Employed,879499.68,110917.89,Education,669.3,3,416,53.84,2018-07-08,0
230,41.0,Male,West,Graduate,Unemployed,612542.34,168928.81,Business,698.0,4,293,76.68,2024-12-25,0
231,70.0,Other,North,Graduate,Salaried,778886.68,10000.0,Business,691.4,6,17,29.8,2021-11-19,0
232,68.0,Male,East,Primary,Salaried,535714.04,643917.62,Car,732.3,3,219,51.82,2018-09-03,0
233,54.0,Other,North,Post-Graduate,Unemployed,155098.76,676082.74,Car,678.8,8,73,64.16,2022-06-04,1
234,36.0,Female,West,Graduate,Salaried,304458.07,738007.8,Home,551.3,6,363,80.71,2021-08-29,1
235,33.0,Male,West,Graduate,Self-Employed,1037506.28,723550.15,Education,740.2,5,213,20.26,2022-01-07,0
236,28.0,Female,South,Primary,Unemployed,901994.77,475386.77,Car,624.2,11,361,61.28,2020-05-30,0
237,43.0,Male,North,Post-Graduate,Salaried,624444.34,448055.34,Car,698.4,6,442,48.44,2024-03-03,0
238,28.0,Other,North,Graduate,,3193636.1,744206.12,Home,505.7,2,106,80.01,2022-03-05,0
239,25.0,Other,West,Post-Graduate,Self-Employed,,741040.07,Home,793.7,12,174,20.41,2023-03-04,1
240,45.0,Male,South,Graduate,Self-Employed,1017709.54,481039.36,Business,723.1,2,145,33.79,2019-09-01,0
241,56.0,Male,West,Graduate,Self-Employed,572561.42,414073.49,Other,592.2,12,274,31.18,2024-02-05,1
242,52.0,Male,North,Graduate,Salaried,909148.79,198238.59,Business,655.3,4,97,12.22,2024-09-11,0
243,54.0,Male,West,Graduate,Salaried,451705.72,,Car,708.4,3,141,55.36,2018-08-18,0
244,36.0,Other,South,Secondary,Self-Employed,890892.12,,Other,578.4,9,19,69.79,2021-12-11,1
245,40.0,Male,South,Graduate,Unemployed,737632.35,462084.01,Car,668.7,7,5,38.2,2024-11-20,0
246,41.0,Male,East,Post-Graduate,Unemployed,664112.3,634031.49,Home,767.5,2,401,19.43,2023-11-26,0
247,42.0,Other,East,Secondary,Unemployed,648073.11,528318.65,Other,797.6,7,337,36.97,2024-04-20,1
248,32.0,Female,North,Secondary,,,379035.1,Education,,2,378,10.15,2024-06-04,0
249,,Male,East,Post-Graduate,Salaried,770445.8,717432.06,Education,,3,182,93.5,2019-11-19,1
