customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,income_group,credit_score_binary,income_quantile,income_cluster,income_log,loan_reciprocal,transaction_sqrt,income_boxcox,loan_yeojohnson,debt_to_income_ratio,avg_monthly_transactions,spending_to_income_ratio
34,64.0,Female,East,Primary,Salaried,1016237.44,10000.0,Education,705.3,12,381,24.42,2018-12-14,0,Very High,1.0,Q4-High,2.0,13.831618564625709,9.999999999998999e-05,19.519221295943137,447290.3856965456,1649.456042947427,0.00984022001787299,63.5,0.24420000000000003
35,35.0,Other,South,Post-Graduate,Self-Employed,766767.2893623698,267660.55,Business,775.7,12,42,48.71,2025-01-23,0,High,1.0,Q3,0.0,13.549939934789338,3.7360754134294213e-06,6.48074069840786,343638.5600447753,21226.64690139852,0.34907664126175986,7.0,0.48710000000000003
36,36.0,Male,South,Post-Graduate,Salaried,658445.31,198251.48,Other,543.3,12,458,19.06,2022-10-08,1,High,0.0,Q2,1.0,13.3976382630525,5.044098535859581e-06,21.400934559032695,297988.2566278796,16810.340538751658,0.30109027581956654,76.33333333333333,0.1906
37,36.0,Other,West,Post-Graduate,Salaried,832542.78,336971.53,Business,596.0,8,309,36.97,2022-12-18,1,High,0.0,Q3,0.0,13.632241088042592,2.9676097562307326e-06,17.578395831246947,371153.04647642444,25385.999177880283,0.40474980757144996,51.5,0.3697
38,49.0,Male,East,Post-Graduate,Salaried,781354.73,406177.81,Education,779.7,12,403,54.31,2025-01-11,0,High,1.0,Q3,0.0,13.568785805275875,2.4619759508772713e-06,20.074859899884732,349753.24929751945,29351.5606070104,0.5198379102408455,67.16666666666667,0.5431
39,36.0,Female,West,Post-Graduate,Self-Employed,664182.69,617401.81,Car,712.8,11,83,70.05,2018-09-21,1,High,1.0,Q2,1.0,13.406314031766614,1.6196907488819934e-06,9.1104335791443,300417.6199903617,40638.57805197013,0.9295662462988912,13.833333333333334,0.7005
40,47.0,Female,West,Primary,Self-Employed,866222.21,474950.15,Education,512.1,0,443,84.86,2024-06-16,0,High,0.0,Q3,0.0,13.671897902601092,2.105484122912684e-06,21.047565179849187,385186.85578211537,33144.96846681965,0.5483005913690437,73.83333333333333,0.8486
41,69.0,Male,East,Post-Graduate,Self-Employed,212708.78,735992.68,Home,680.453659663354,12,313,86.31,2023-06-23,1,Low,0.0,Q1-Low,3.0,12.267683980385147,1.358709165422676e-06,17.69180601295413,103497.34780949389,46583.390970062246,3.4600954412883196,52.166666666666664,0.8631
42,45.0,Other,North,Post-Graduate,Unemployed,583772.66,290411.42,Other,615.7,2,435,49.73,2019-06-07,0,Medium,0.0,Q2,1.0,13.277268618193133,3.443390759220132e-06,20.85665361461421,266241.0951290643,22615.812052420337,0.4974734856545011,72.5,0.49729999999999996
43,63.0,Female,West,Graduate,Self-Employed,1124212.73,460787.02,Education,658.2,6,172,27.99,2021-08-31,0,Very High,0.0,Q4-High,2.0,13.932594442604868,2.1702000199571546e-06,13.114877048604,491621.60996663437,32374.35621906209,0.40987529112928656,28.666666666666668,0.2799
44,26.0,Male,North,Secondary,Salaried,722968.23,399498.69,Home,657.1,5,119,65.26,2025-04-23,0,High,0.0,Q3,0.0,13.491121941452402,2.5031371191730254e-06,10.908712114635714,325233.61600755365,28975.822768690537,0.552581252429308,19.833333333333332,0.6526000000000001
45,60.0,Other,North,Secondary,Self-Employed,789704.7,405673.5307081655,Home,634.8,11,136,75.19,2019-11-19,0,High,0.0,Q3,0.0,13.579415623390483,2.465036351408838e-06,11.661903789690601,353250.0455294989,29323.24042040008,0.5137028191780618,22.666666666666668,0.7519
46,58.0,Male,South,Primary,Unemployed,617705.21,257285.74,Education,777.4,6,208,90.03,2020-03-23,0,High,1.0,Q2,1.0,13.333768235057446,3.886729206212502e-06,14.422205101855956,280697.97385241755,20584.4966239771,0.41651864972937497,34.666666666666664,0.9003
47,64.0,Other,East,Primary,Self-Employed,576937.4,325085.5,Business,693.2,6,343,41.5,2023-09-04,0,Medium,0.0,Q2,1.0,13.265490780692291,3.0761138223636457e-06,18.520259177452136,263322.5215834803,24687.413030881922,0.5634675443124332,57.166666666666664,0.415
48,27.0,Other,East,Post-Graduate,Self-Employed,428733.8,58537.41,Business,792.4,7,367,23.0,2019-12-23,0,Medium,1.0,Q1-Low,1.0,12.968593824938809,1.708309267526498e-05,19.157244060668017,199441.04253122906,6514.4299132941815,0.13653556122703647,61.166666666666664,0.23
49,67.0,Other,West,Graduate,Salaried,478795.11,278955.03,Business,731.9,7,129,73.79,2024-05-23,0,Medium,1.0,Q1-Low,1.0,13.07903012815509,3.5848071999275163e-06,11.357816691600547,221157.3041106122,21919.444486206765,0.5826187949162639,21.5,0.7379000000000001
50,41.0,Other,South,Primary,Salaried,603116.45,505394.09,Business,801.6,5,148,84.83,2021-02-05,1,High,1.0,Q2,1.0,13.30986723286232,1.978653925296194e-06,12.165525060596439,274488.8774942252,34784.35865473495,0.8379709921690912,24.666666666666668,0.8482999999999999
51,52.0,Other,South,Graduate,Unemployed,490802.88,337018.88,Other,661.9,0,52,35.01,2022-07-15,0,Medium,0.0,Q1-Low,1.0,13.103799897248118,2.9671928172095198e-06,7.211102550927978,226343.9739097296,25388.771009337044,0.6866685052866845,8.666666666666666,0.35009999999999997
52,44.0,Female,East,Graduate,Salaried,382226.59,141736.2,Home,665.8,11,286,38.12,2023-02-02,0,Medium,0.0,Q1-Low,3.0,12.853771495519402,7.055360592424468e-06,16.911534525287763,179120.3991442601,12951.732205081162,0.3708172160393132,47.666666666666664,0.3812
53,67.0,Other,East,Primary,Salaried,753437.57,518037.72,Education,683.4,3,383,51.16,2024-08-11,0,High,0.0,Q3,0.0,13.53240276751423,1.93036136441956e-06,19.570385790780925,338044.55305968336,35458.687728986246,0.6875655537060622,63.833333333333336,0.5115999999999999
54,35.0,Other,East,Secondary,Unemployed,508585.74,404332.87473549426,Business,784.0,2,145,13.87,2018-08-12,0,Medium,1.0,Q2,1.0,13.139391060061275,2.473209730112041e-06,12.041594578792296,234010.27563836408,29247.911336188783,0.7950141793898788,24.166666666666668,0.1387
55,27.0,Male,North,Post-Graduate,Self-Employed,973150.66,165756.65,Home,638.4,0,134,89.99,2023-05-11,0,High,0.0,Q4-High,2.0,13.788295217470017,6.032940458195759e-06,11.575836902790225,429517.5261715564,14627.231649956933,0.17032989527027603,22.333333333333332,0.8998999999999999
56,57.0,Male,West,Secondary,Unemployed,769980.01,534129.69,Business,693.2,9,490,35.83,2020-10-13,0,High,0.0,Q3,0.0,13.554121131188083,1.8722044827727105e-06,22.135943621178654,344985.88763661816,36311.649134399675,0.6936929310671325,81.66666666666667,0.3583
57,49.0,Male,South,Graduate,Unemployed,911522.58,285798.83,Home,598.2,0,317,91.61,2019-02-11,0,High,0.0,Q4-High,0.0,13.722872742212214,3.498964638868523e-06,17.804493814764857,404008.0994532859,22336.189751457357,0.3135400441753182,52.833333333333336,0.9161
58,31.0,Female,North,Secondary,Self-Employed,868223.08,261840.6,Education,666.9,6,235,68.6,2023-04-09,0,High,0.0,Q3,0.0,13.674205117007812,3.819117432514271e-06,15.329709716755891,386019.47977104294,20867.11798841133,0.30158216941203636,39.166666666666664,0.6859999999999999
59,65.0,Female,North,Secondary,Unemployed,773267.3,325823.44,Car,668.7,9,343,78.33,2020-03-21,0,High,0.0,Q3,0.0,13.558381356610628,3.0691468974730515e-06,18.520259177452136,346364.11452473764,24730.948414479073,0.42135939279987655,57.166666666666664,0.7833
60,38.0,Female,West,Primary,Self-Employed,774975.8903813425,535688.52,Education,698.3,4,309,73.66,2024-05-20,0,High,0.0,Q3,0.0,13.56058848902811,1.866756450184891e-06,17.578395831246947,347080.308452415,36393.968740407654,0.6912324972282734,51.5,0.7365999999999999
61,65.0,Male,North,Secondary,Unemployed,504315.16,514594.97,Other,592.6,6,381,37.4,2020-10-22,1,Medium,0.0,Q1-Low,1.0,13.13095865196941,1.943275893271942e-06,19.519221295943137,232170.79303826776,35275.44106128892,1.020383702127852,63.5,0.374
62,58.0,Other,West,Graduate,Salaried,854390.23,773428.79,Other,679.7,4,300,13.42,2019-12-19,1,High,0.0,Q3,0.0,13.658144482622278,1.2929438533054849e-06,17.320508075688775,380260.67108535924,48414.32070370825,0.9052406767338621,50.0,0.13419999999999999
63,45.897085608686936,Female,West,Graduate,Unemployed,468837.67,182093.07,Business,643.6,10,58,82.91,2021-09-12,0,Medium,0.0,Q1-Low,1.0,13.058014001044423,5.49169718540082e-06,7.615773105863909,216849.93734709785,15735.642815605876,0.38839257519558956,9.666666666666666,0.8291
64,69.0,Other,North,Post-Graduate,Self-Employed,920566.12,191428.45,Home,697.0,5,64,92.47,2022-07-14,0,High,0.0,Q4-High,0.0,13.732745193889954,5.223883910672603e-06,8.0,407758.2042537772,16359.01778426762,0.2079464427824044,10.666666666666666,0.9247
65,33.0,Other,West,Primary,Salaried,283979.61,359653.19,Other,658.7,4,286,21.14,2021-03-25,1,Low,0.0,Q1-Low,3.0,12.556661240164637,2.7804563613073953e-06,16.911534525287763,135638.9732208845,26704.0857031959,1.2664753994133593,47.666666666666664,0.2114
66,36.0,Female,North,Secondary,Self-Employed,734785.46,384546.29,Education,690.8,6,52,29.1,2019-04-10,0,High,0.0,Q3,0.0,13.507335205370534,2.600467163524052e-06,7.211102550927978,330206.24227416166,28129.535169408726,0.5233449910671885,8.666666666666666,0.29100000000000004
67,53.0,Other,South,Primary,Self-Employed,763195.0798734308,151020.44,Business,603.8,2,201,26.2,2024-09-21,0,High,0.0,Q3,0.0,13.545270262668838,6.62162022571245e-06,14.177446878757825,342140.04747129837,13606.314759980662,0.19787921067971956,33.5,0.262
68,42.0,Other,West,Secondary,Self-Employed,757557.13,10000.0,Other,673.7,4,376,35.38,2024-08-01,0,High,0.0,Q3,0.0,13.537855552695282,9.999999999998999e-05,19.390719429665317,339774.0576511442,1649.456042947427,0.013200324574860776,62.666666666666664,0.3538
69,51.0,Female,North,Graduate,Unemployed,486089.6,661860.77,Business,620.7,3,362,30.3,2022-04-18,1,Medium,0.0,Q1-Low,1.0,13.094150305261714,1.5108917846875837e-06,19.026297590440446,224309.08777008648,42894.75566633685,1.3616024082802842,60.333333333333336,0.303
70,66.0,Female,North,Secondary,Unemployed,773206.39,10000.0,Other,680.1837323269941,12,425,65.42,2019-09-16,0,High,0.0,Q3,0.0,13.558302583952997,9.999999999998999e-05,20.615528128088304,346338.580862041,1649.456042947427,0.012933157471706876,70.83333333333333,0.6542
71,45.79880610632328,Male,North,Post-Graduate,Self-Employed,1117316.19,28269.27,Education,603.7,11,78,44.85,2025-05-05,1,Very High,0.0,Q4-High,2.0,13.926441003720933,3.537410056927415e-05,8.831760866327848,488798.55651322013,3699.8729774220783,0.02530104750384043,13.0,0.4485
72,60.0,Other,West,Primary,Unemployed,646186.26,112468.94,Home,569.4,10,444,55.36,2021-07-21,1,High,0.0,Q2,1.0,13.378844616919753,8.891343690088935e-06,21.071307505705477,292792.8739502585,10821.059701631846,0.17405034269840403,74.0,0.5536
73,36.0,Female,South,Graduate,Salaried,240974.89,10000.0,Home,678.5,1,394,63.87,2019-02-16,0,Low,0.0,Q1-Low,3.0,12.392452165974532,9.999999999998999e-05,19.849433241279208,116316.54758774658,1649.456042947427,0.04149809965677337,65.66666666666667,0.6386999999999999
74,41.0,Male,South,Secondary,Salaried,380003.65,334785.01,Other,745.3,2,130,55.15,2024-05-07,1,Medium,1.0,Q1-Low,3.0,12.847938768469804,2.986991562137137e-06,11.40175425099138,178145.28723859135,25257.907181450388,0.8810047219283288,21.666666666666668,0.5515
75,45.0,Female,East,Secondary,Salaried,537381.56,273205.89,Business,728.4,4,240,31.7,2018-02-08,0,Medium,1.0,Q2,1.0,13.19446552208762,3.660243196074566e-06,15.491933384829668,246388.18622354665,21567.593110992722,0.5084020560735281,40.0,0.317
76,43.0,Male,West,Post-Graduate,Self-Employed,961168.87,205640.6,Car,850.0,11,133,48.83,2021-05-22,0,High,1.0,Q4-High,2.0,13.775906436119273,4.862852958024802e-06,11.532562594670797,424566.27924178063,17295.220532838146,0.21394846048228758,22.166666666666668,0.48829999999999996
77,45.0,Other,North,Post-Graduate,Self-Employed,347033.09,257223.41,Car,625.8,10,207,33.33,2024-05-07,0,Medium,0.0,Q1-Low,3.0,12.757178296178488,3.887671032741523e-06,14.38749456993816,163638.2209867467,20580.62145435951,0.7412071569313462,34.5,0.3333
78,59.0,Other,South,Primary,Unemployed,771782.5715002904,431419.99,Home,724.6,4,352,74.22,2025-05-24,0,High,1.0,Q3,0.0,13.556459441904572,2.3179268999565777e-06,18.76166303929372,345741.6749198774,30759.37814169404,0.5589916200897751,58.666666666666664,0.7422
79,40.0,Male,East,Graduate,Salaried,718774.55,336778.58,Education,784.1,5,387,45.32,2020-04-02,0,High,1.0,Q2,0.0,13.485304418287976,2.969309984025697e-06,19.672315572906,323467.6892234542,25374.703139671605,0.4685454987241827,64.5,0.4532
80,51.0,Male,South,Post-Graduate,Self-Employed,1183483.52,258571.95,Education,815.9,12,63,49.81,2018-11-05,0,Very High,1.0,Q4-High,2.0,13.983973628002724,3.867395516025602e-06,7.937253933193772,515838.681376043,20664.416004523562,0.21848377745048786,10.5,0.49810000000000004
81,26.0,Female,North,Secondary,Self-Employed,712699.81,359502.47,Home,579.6,10,139,59.69,2025-02-28,1,High,0.0,Q2,0.0,13.476816990012397,2.781622056727447e-06,11.789826122551595,320908.4893942266,26695.389362253845,0.5044234121516041,23.166666666666668,0.5969
82,60.0,Other,East,Post-Graduate,Salaried,825692.82,10000.0,Car,621.5,3,336,15.37,2023-03-17,0,High,0.0,Q3,0.0,13.623979305818954,9.999999999998999e-05,18.33030277982336,368294.3405818335,1649.456042947427,0.012111041488770607,56.0,0.1537
83,23.0,Other,West,Secondary,Self-Employed,941160.4,329441.77,Home,799.8,2,203,48.56,2025-07-09,0,High,1.0,Q4-High,0.0,13.754869923519637,3.035437795274099e-06,14.247806848775006,416289.3063773701,24944.09782125375,0.3500378575214172,33.833333333333336,0.48560000000000003
84,52.0,Male,East,Primary,Unemployed,1059420.86,587859.57,Education,658.8,11,194,28.47,2022-12-27,0,Very High,0.0,Q4-High,2.0,13.873233902200992,1.701086536704673e-06,13.92838827718412,465054.67890955805,39119.375070956914,0.5548876675884973,32.333333333333336,0.2847
85,55.0,Other,North,Primary,Self-Employed,1051901.27,191679.25,Car,650.2,7,51,66.34,2025-03-13,0,Very High,0.0,Q4-High,2.0,13.866110768724846,5.217048793753079e-06,7.14142842854285,461964.74946404697,16375.670252820662,0.1822217117391635,8.5,0.6634
86,29.0,Female,South,Primary,Self-Employed,774822.4630024057,530678.8,Car,806.6,8,111,59.84,2020-08-12,0,High,1.0,Q3,0.0,13.56039049271316,1.8843790255046893e-06,10.535653752852738,347016.0000710434,36129.22161610106,0.6849037364554986,18.5,0.5984
87,29.0,Male,East,Primary,Salaried,180054.62,402766.11021379643,Business,704.9,5,409,77.02,2024-08-08,1,Low,1.0,Q1-Low,3.0,12.10102108214168,2.4828305426918296e-06,20.223748416156685,88550.00771462939,29159.806995289415,2.2369107230561283,68.16666666666667,0.7702
88,54.0,Other,North,Graduate,Self-Employed,581320.89,651196.94,Home,709.7,5,267,60.46,2023-01-26,1,Medium,1.0,Q2,1.0,13.27305990995618,1.5356337515959435e-06,16.34013463836819,265194.4722896706,42356.75898519735,1.1202022001996177,44.5,0.6046
89,24.0,Other,South,Primary,Salaried,1281585.78,395696.31,Education,766.0,7,42,86.44,2021-08-12,0,Very High,1.0,Q4-High,2.0,14.063609540012068,2.527190612416875e-06,6.48074069840786,555752.8727196403,28761.29258834137,0.3087552282298263,7.0,0.8644
90,60.0,Other,West,Primary,Unemployed,997197.53,188424.89,Home,661.4,9,276,35.07,2023-09-02,0,High,0.0,Q4-High,2.0,13.812705156502897,5.307154484739223e-06,16.61324772583615,439442.6984680592,16159.208920020492,0.18895442911897306,46.0,0.3507
91,62.0,Female,West,Primary,Self-Employed,400541.88,52332.62,Business,696.7,3,216,38.81,2023-02-01,0,Medium,0.0,Q1-Low,1.0,12.90057610592667,1.9108540715140594e-05,14.696938456699069,187140.92316751377,5971.160360774724,0.13065455227802897,36.0,0.3881
92,45.627259470910055,Male,West,Primary,Unemployed,1020907.88,298704.15,Education,708.6,7,39,17.75,2018-12-16,0,Very High,1.0,Q4-High,2.0,13.836203847326741,3.3477941300781947e-06,6.244997998398398,449213.95638028486,23116.056370843995,0.2925867806995476,6.5,0.1775
93,29.0,Other,North,Graduate,Unemployed,326070.6,284773.17,Education,662.8,5,452,66.55,2022-09-29,0,Medium,0.0,Q1-Low,3.0,12.69487226813513,3.5115667673327393e-06,21.2602916254693,154369.1279613473,22273.876356908284,0.8733481951454685,75.33333333333333,0.6655
94,43.0,Other,East,Primary,Self-Employed,834404.7,255200.57,Other,678.1,7,119,82.02,2021-12-05,0,High,0.0,Q3,0.0,13.634475013901358,3.918486545700098e-06,10.908712114635714,371929.8236543306,20454.743786069765,0.30584747425320113,19.833333333333332,0.8201999999999999
95,35.0,Other,East,Primary,Salaried,903870.95,406217.98942680465,Education,720.2,10,290,12.23,2025-05-18,0,High,1.0,Q4-High,0.0,13.714442981111167,2.4617324343785244e-06,17.029386365926403,400833.3182261,29353.816735260334,0.4494203397363359,48.333333333333336,0.1223
96,65.0,Male,North,Primary,Unemployed,323951.77,604792.2,Other,649.2,2,450,22.18,2025-05-16,1,Medium,0.0,Q1-Low,3.0,12.688353012543816,1.6534604778302338e-06,21.213203435596427,153430.14558053706,39992.160322907264,1.8669204986902832,75.0,0.2218
97,34.0,Other,North,Primary,Self-Employed,465009.71,592907.87,Business,656.6,9,310,17.22,2018-08-04,1,Medium,0.0,Q1-Low,1.0,13.04981571656232,1.6866026757243048e-06,17.60681686165901,215192.4921711907,39380.16710581404,1.2750440630583821,51.666666666666664,0.1722
98,63.0,Female,North,Graduate,Unemployed,945999.1,197796.53,Other,634.9,3,391,53.55,2021-11-14,0,High,0.0,Q4-High,0.0,13.759997953742255,5.05570042103365e-06,19.77371993328519,418291.9736198821,16780.35596617428,0.20908743993519657,65.16666666666667,0.5355
99,52.0,Female,East,Primary,Salaried,446038.18,363838.74,Business,703.4,3,159,90.35,2019-07-17,0,Medium,1.0,Q1-Low,1.0,13.008162074677465,2.7484703800370388e-06,12.609520212918492,206965.05571984546,26945.26316102673,0.8157120989059725,26.5,0.9035
100,68.0,Male,West,Primary,Self-Employed,690173.85,612212.64,Home,742.6,3,261,57.49,2025-06-29,0,High,1.0,Q2,0.0,13.444700250268717,1.633419394934411e-06,16.15549442140351,311406.3141819223,40372.92085769841,0.8870411998368237,43.5,0.5749
101,50.0,Female,South,Post-Graduate,Unemployed,763575.5477592725,163443.51,Education,581.4,6,153,19.79,2018-03-27,1,High,0.0,Q3,0.0,13.545768657631953,6.118321859338397e-06,12.36931687685298,342299.67199209426,14468.362496027643,0.21405021478179626,25.5,0.1979
